Timestamp,"Your Name (if you want, you can share)",Viva Date,Viva Proctor ID (the id which was sent to you in email for viva),Questions asked by the Viva examiner (Write in points),Any suggestions/tips to fellow students for this examiner?
4/4/2025 1:15:56,Anonymous,4/3/2025,Level1_viva9,"Explain your notebook clearly , step by step 
Then he ask 3 theory questions : 
1. what is one-hot encoder and where and why did you used it in your notebook
2. what is SimpleImputer and where and why did you used it in your notebook
3. Where did you implemented pipeline and what is its use their 
that's it then he give his suggestions for lvl2 viva.",Just be confident and prepare how to present your notebook with confident and know each steps and its usage . that's it
4/4/2025 19:49:20,,4/4/2025,level3_20,"very good proctor, just explain the notebook",stay chill
4/5/2025 20:37:32,Pratik Sonawane,4/5/2025,Level3_19,"Explain notebook 
Tell me what is the case of low training accuracy and high test accuracy
What is the confusion matrix
what is the correlation report 
what is data leakage ",Keep reading the basic concepts & their importance 
4/5/2025 23:06:30,,4/4/2025,level_3_19,"1. He told me to share and explain notebook
2. Then he asked me about the confusion matrix and tried to trick me in different ways to identify True Positives (TP), False Negatives (FN), and other components related to Confusion matrix.",Prepare well on Confusion matrix if this proctor taking your viva
4/6/2025 8:57:12,Lohith D,4/2/2025,mlp_level1_viva9_MLP_Viva,SimpleImputer What is it and its functionality(How it works),This Proctor was completely friendly and did not even raise any questions while i was explaining my notebook . He said that my notebook fulfilled all the pass criteria at the end and proceed onto asking that one single question after which he told me that i have passed for viva 2. But i would not expect the same proctor for this id because they seem to rotate afaik from what students reported (This was for the final batch)
4/6/2025 10:10:35,Aparna,4/5/2025,level3_28,"1. Asked about my academic background
2. Asked me to explain the notebook. (did for about 30 mins)
She interprets you in between to ask questions and also gives suggestions in between. She is very polite and nice. She expects students to explain the code and results (like Model Comparisons and graphs, PCA) using Statistics and Linear Algebra concepts. She also expects deep understanding of the dataset.","Explain your code from statistics and Linear Algebra POV. Thoroughly explain the EDA not just in the form of graphs but try to correlate the graphs with some real-life knowledge. Example: in the graphs based on Processor Count, we see there are few systems having many cores. These could be high end devices with specialized purposes like it is a server. This is a real-life fact which you can use to correlate with your EDA results."
4/8/2025 14:07:58,Adii,4/8/2025,level3_20_MLP_Viva,"It was level 2 viva
Similar to other experiences from this form.
Just Told me to explain the notebook
No questions asked at all after clearly explaining everything.","Know your notebook properly.
If you explain the notebook properly and give reason to
why you have implemented something in your notebook, 
you are good to go.
Maintain a neat notebook.
Don't panic as the proctor is a cool guy!
All the best! Wishing whoever reading this the best!"
7/4/2025 11:07:41,Ishita,7/4/2025,Level1_118,"- asked to present the notebook
- asked a little in depth about the models used
- difference bw rf and xgb
- questions on lasso model
- asked what all scoring metrics can be used in gridsearchcv and how will the result change/not change?
- looked at the eda thoroughly
- asked how i did the cleanup and how did i merge/separate the train and test data (i had merged)","don't worry, just know your notebook, he's the sweetest proctor I've come across"
7/6/2025 14:48:23,,7/5/2025,l1_14,"1.) explain you notebook briefly
2.) what is CV? how it works?
3.) resources?
4.) best model?
5.) HPT? which?
6.) gave tips of L2 viva that most questions will be from MLT course and live coding can be called...
","just be confident, he is chill"
7/21/2025 15:34:47,Tarang Pansuriya,7/21/2025,level1_viva9,"started with to present my notebook.
i explained the whole notebook for around 20 minutes.
she liked my two stage model(classification+regression) approach from which i am getting highest score.
asked about ridge regression alpha value?
asked about ensemble learning 
bagging boosting
No coding question was asked","she was the very chill. if you explain your notebook in details she will not ask any questions.
she suggested some changes also for level 2 and told to work on theory part for level 2."
7/22/2025 11:21:31,,7/22/2025, mlp_level1_viva14,Asked me to explain my notebook in brief. Time was up by the time I finished with notebook explaining ,"Proctor was very friendly and easygoing
Explain notebook in such a manner that it covers all topics 
e.g. 
EDA explanation, insights gathered from it. 
data preprocessing..
what are your models?
what do those models do ? 
How does the model work?
what does some of those terminology mean ?
what do you infer from those models ?
atb!"
7/22/2025 16:17:28,Yash Agarwal,7/22/2025,118,"1. Diff between multiple ensembling techniques
2. OOB score param in Rf
3. Few question on HPT ttuning method
4. Gradient boosting 10 weak learner are given explain model building process",Humble and a good listener.
7/22/2025 20:56:58,Tanush,7/22/2025,level1_117_MLP_Viva,"1. Show ID
2. Show and explain notebook
3. Why did you power transform target with specific power
4. After notebook presentation, asked explain xgboost
5. Explain difference between xgboost and extra trees regressor

Very helpful and understanding examiner. My internet dropped mid viva, and he said no worry continue ahead.
","Explain the models and their parameters beforehand in short, explain working or algorithm approach of each model as explaining the code."
7/23/2025 7:44:42,Henil,7/22/2025,Level1_116,Firstly told me to introduce myself. Then told me to explain the notebook in 10-15 mins. Afterwards went through the code again just to check if all rubrics were present. No questions asked.,Very easy. Just make sure your code has all the rubrics in it
7/23/2025 12:34:55,sachiv,7/22/2025,level1_118,"-Difference between RandomSearch and Gridsearch
-How many combinations of hyperparameter are done based on n_iter and cv
-How much data is used in Bagging
-Weak learner's predictive power
","Just be super good with notebook
Questions are asked based on the explanations given during the presentation of notebook"
7/24/2025 8:34:21,Dhinesh L,7/22/2025,level1_viva9,"1) I've started explaining my notebook
2) She told me to skip sections , asked me to show charts, preprocessing, feature engineering, model training
3) asked me to do train_test_split",I've only did the bare minimum 3 model. it would be better to do more than that
7/24/2025 12:23:52,Rajat Shenoi,7/24/2025,mlp_level1_viva14,"1. Explain the notebook
2. Explain your hyperparameter tunining
3. What is CV?
4. What will you do if your model overfits or underfits?","Proctor is very chill, gave tips for level 2 viva too."
7/24/2025 15:29:35,Kavya Jain,7/22/2025,mlp_level1_viva9,"1. Explain Notebook
2. perform train test split
3. explain encoding and scaling used
4. r2 score",
7/24/2025 16:08:04,Garima,7/24/2025,level1_viva18,"1- Asked how I approached the problem.
2- Then to show and explain the notebook.
3- Gave one suggestion on EDA.",Very patient proctor. Just be thorough with your notebook.
7/24/2025 16:45:31,,7/24/2025,level1_viva16,"1.No intro just asked to show id
2.Asked to start explaining the notebook
3.If you explain everything in detail he tells to skip the part and go on 
4.Asked to explain feature engineering (any one feature)
5.Then saw pipeline and asked about imputing and encoding
6.Asked to explain about any model that you used (your choice)
7.Finally seen hyper parameter tuning and asked to explain any one hyperparameter",He may ask 'why' questions based on what you explained. He is a nice guy and takes very less time.
7/24/2025 19:09:46,Dk,7/24/2025,Level3_29,"He asked these questions 
1.introduction of your 
2.how svm works 
3.how pca works 
4.what is oversampling 
5.how knn works 
6.asked to create a dataset using random numbers 
7.asked to load dataset from sklearn 
8.asked about entropy 
9.asked about information gain
10.asked about parameters and hyperparameters
11.confusion matrix
12.correlation
13.tree based algorithms 
14.about graphs
15.how learning rate works 
16.how regularisation works 
And many more ....😨🥹😭😭",Just revise  all the mlp theory...
7/24/2025 20:15:41,VIJAY,7/22/2025,LEVEL1_VIVA9,"1) Notebook explained (25min)
2) asked about categorical colums and how did u encode it 
3) what is mean by MINMAX scaler 
4) range of minmax scaler ( i said 0-1, but she says it wrong idk)
5) diff btwn bagging , boosting",
7/24/2025 20:45:08,Manav Chawla,7/24/2025,mlp_level1_viva7_MLP_Viva,"What is XGBoost?
How XGBoost works?
Told me to explain the notebook...","Just be confident and try to explain every simplest thing, keep your core knowledge clear"
7/24/2025 20:53:33,,7/24/2025,Level1_118,"1. Notebook presentation
2. Is Random forest parametric or non parametric.
3. And some questions about why I used this approach","Very chill guy. Is punctual, so you must try to do presentation in 15 mins. He would only ask about models present in the notebook. So prepare the parameters, working and mathematics of the model."
7/25/2025 11:04:14,Gaurav Tomar,7/25/2025,level3_31_MLP_Viva,"Feedback: Level3_31
proctor is mam and higly supportive and polite
it is like a level 1 viva
1. explain notebook 
2. mean,median,mode
3. hyper parameter tunning
4. mostly eda parts and pipeline and feature engineering
5. explain parameter of hyper parameter tunning
6. explain any model
7. oversampling: I don't remember it
8. 15 min on future planning , industry insight ,carrer
9. loss function
10. at last Easier than Level 1",know your code word by word and don't panic and learn one model best from your code on tips of your finger to explain in deep
7/25/2025 11:45:12,Manas,7/24/2025,Level 1_MLP16,"1. Show EDA, told me to pick any 1 and explain in detail
2. Explain how any 1 model works
3. Why does hpt give you the score it does
4. Explain 1 HPT parameter","Explain notebook properly, keep it well documented, L1 is easy to pass as long as you can explain your thought process"
7/26/2025 10:49:24,,7/23/2025,Level1_viva16,"- Explain the notebook
- EDA part
- Model explanation
- Explain the hyperparameters",
7/26/2025 11:01:12,Rayaan,7/26/2025,Level 3 - 31,"These are what she asked -
1. Explain the notebook – Overall walkthrough of the code and process.

2. Feature engineering – Techniques and logic used.

3. Simple Imputer – Why mean, median, and mode are used.

4. Oversampling issue – What it is and when it causes problems.

5. Encoders – Target encoding vs One-Hot encoding; general use of encoders.

6. Model explanation – Detailed explanation of any one model used.

7. Model rejection – Why some models were discarded.

8. Graph interpretation – Graphs used and what insights they give.

9. Feature engineering in production – Its role and effect on latency.

10. Hyperparameters – What they are and how they were tuned.

11. Company practices – How companies clean datasets and use ML in production.

12. Personal questions – About you and your academic background.","She was incredibly sweet and supportive. The key is to explain your problem statement clearly, walk through each cell with reasoning, and avoid using complex terms just to sound smart. Keep your answers simple, industry relevant, and stick to what's on the sheet."
7/26/2025 12:42:05,Rajat Shenoi,7/26/2025,level3_31,"1. Introduce yourself.
2. Explain your notebook.
3. Explain the reason why you have feature engineered each new feature.
4. What is the validation size in train_test_split?
5. When will you impute with mean, median and mode?
6. Explain any one model. Need not be the ones you used, can be anything.
7. You haven't used confusion matrix here, but do you know what it is?
8. What about your future? Will you do masters?","Ma'am was one of the best viva examiners I have appeared before till now. Very calm and chill, will listen to everything you say. Just ensure you know the code you have written and you will be good to go. No coding questions asked.

TL;DR Easier than Level 1."
7/26/2025 14:10:15,,7/26/2025,level3_29_MLP_Viva,"What is machine learning?
What are the types of machine learning ?
Name any three unsupervised algorithm
how KMeans work ?
then asked me to create new notebook and use load_digit dataset and apply kmean algorithm and find the optimal kvalue (I wasn't able to do that 🥲 so he told to leave it for now )
allowed me to use sklearn documentation although just once.
told me to explain the preprocessing that i had done for my notebook
asked me if i my datasset contains any outliers and then follow up question how i removed them?
if suppose i have a dataset which has many outliers then which model would be suitable?
why did i chose randomforest as one of the model ? then more questions on how i ended up selecting parameters in rfr...
what is function of r2_score ?
what are the solutions for overfitting ?
in decision tree how will the root node be selected ?
what is the use of pipeline ? (I used pipeline in my code )
what is the concept of pure node and impure node?
went back to that coding question asked me to solve it again honestly i couldn't do it so gave me another coding question.
then told me to find the size of the load_digit dataset, and based on that told me to apply SVM and do the classification use an appropiriate function.
what are the different optimization functions in neural network?
what is the input of relu function and output ?
what is one vs one and one vs all approach ? i couldn't hear this properly so ended up repeating the following question again...what are the solutions for overfitting ?
what is t-test?",
7/27/2025 22:18:48,,7/22/2025,mlp_level1_viva8,"Explain your notebook what you have done (don't explain every line of code).
Asked what are parameters of Random forest (don't get tricked rf is non-parametric model)
            is RF bagging or boosting, what is bagging
            in xgboost hpt if our model is overfiting for n_estimators  do we increase or decrease                    
            it and why, and same for learning_rate also.","Interrupt in between as I have used a circle emoji as bullet points told me to remove them he thought I have copied the code, then I showed him my recent keyboard emoji . If you know your work well it will go good."
7/28/2025 9:29:13,Garvit ,7/25/2025,Level1_116,"1. He First asked me to explain the Problem Statement, and this is very important to read the statement before anyone goes for the viva .

2. He then asked to explain the Notebook, I was explaining into a more detail, so he suggested me to only explain it faster.

Rest no questions were asked , he also checked the score on right panel for verification and to check that how does one explains the Notebook.","At The end he suggested me to reduce the Markdown Text as I have included markdown for code cell in para format , he suggested me to do it in points , rest was good."
7/28/2025 9:37:00,Garvit,7/27/2025,Level2_124,"He was there in Viva 2 , at first he asked for my intro and then asked me to explain the notebook.

1. Then he asked me following questions:
- Methods of Hyper Parameter Tuning
- Difference between Overfitting and Under fitting, and how can u resolve this
- Explain Descision Tree Algorithm.

2. Then he asked me Coding ques - To create a Toy Dataset which shall have values like '?' and None
And then to replace it with NaNs.","Practice basic coding questions of pandas and numpy
Read Algorithms and their mathematical intuition before going  to viva and it would be better to include Linear Models before jumping to complex Models (like Tree Based Models or MLP)."
8/5/2025 13:11:25,Dhinesh L,7/25/2025,Level2_124,"1) explain notebook in 20 minutes . I took 25 mins 
2) tree algorithms. 
3) asked me if logistic regression or scam detects outliers better
4) what is target encoding 
5) overfitting vs under fitting 
6) bias variance tradeoff ",Prepare this sheets you’ll be ok 
8/5/2025 15:24:45,,8/4/2025,level1_116,"Explained the entire notebook from the beginning within the 10-minute time limit.
After the explanation, he went through each item on the rubric checklist to ensure everything was covered.
Hyperparameter tuning
Pipeline creation (which I had not done).
For model comparison: (My suggestion) Include multiple relevant factors in the comparison. Not just R2 (regression pblm)
Provide a comprehensive and appropriate evaluation of the models.
The examiner was relaxed and friendly throughout the viva which lasted 20 minutes approx","Don't be stressed just prepare with your notebook, you'll be fine"
8/5/2025 15:42:51,,5/8/2025,level1_viva9,"1. Write code on loading train set, then use train test split to split the data and print the shape of splits.
2. What is R2 score?
3. What is Bagging? What is Boosting? Difference between them.
4. What is bias-variance trade off?
5. What is overfitting?
6. What is unsupervised learning?
7. What kind of problem statement we had (supervised or unsupervised)?",Study in brief about ensemble methods such as Bagging and Boosting. 
8/5/2025 19:10:47,Astitva Agarwal,8/5/2025,mlp_level1_viva14_MLP_Viva,"Level 1 viva 
Very Chill Procter 
Asked me to show id card 
Then told me to open my notebook ,
So i started explaining my notebook and i explained each and every line , every terminology and i explained each topic why this was used what is the meaning of this in detail that took around 32 mins then when i finished explaining he just turned of the meet and said that was great and give me tips for viva 2 that theory from mlt and some coding will be asked and official documentation of sk learn is allowed , that's it no questions asked .","Please go through the sheet, summarize the questions asked and prepare accordingly , and explain the notebook in detail so that the examiner doesn't have any questions left."
8/5/2025 21:15:07,Himanshu Gupta,8/5/2025,level1_viva14,"

Very Calm Procter 
He firstly asked me to show id card 
Then told me to open my notebook ,

Directly ask me to show your all visualisation and then explain why your use that .

Show me your pipeline and features engineering. 

What type of model you have use?

Show HPT?

Explain train_test_spilt and CV.
 
He give me some feedback and then tips for prepare for viva 2 that theory from mlt and  coding will be asked and official documentation of sk learn is allowed .",Practice explanation of your notebook along with key findings of visualisation for level 1 viva 
8/6/2025 11:37:09,Abhishek Rawat,8/5/2025,mlp_level1_viva18_MLP_Viva,"Explain your problem statement
which model you have used ?
Ask about parameter grid for hypertunning and what they do specifically
Ask about preprocessing Steps
then Go through you Eda and Explain it",do't be panic 
8/6/2025 14:33:34,Jatt,8/6/2025,Level2_123,"
Tell and explain which and why did u imported the libraries (which were used in the notebook)

Why did u use seaborn along with matplotlib

Randomly asked to explain a heat matrix which i was showing

What is the objective of the project

Do model comparison

What is xgboost matrix( dont have any idea)

Regression vs classification 

Asked small details of the code used

How u selected the models

Asked about the things like why have u used this code instead of this","She is very nice proctor

Asks questions like why have u used this instead of this in code

Dont pause in between
If u dont give her time she will not ask much questions 

The moment u stop she will ask questions

Calm and patient "
8/6/2025 18:06:37,,8/6/2025,mlp_level1_viva9_MLP_Viva,"Explain your code
What is boosting?","Be calm, dont panic"
8/6/2025 18:54:14,Aditya,8/6/2025,Level1_viva8,"1. Explain eda 
2 . Go to pipeline and explain that
3. What are parameter in xgboost
4. If model overfits then estimator should increase or decrease and why? 
5. Same question but for learning rate
6. Used any function or not
","1. Explanation and perform eda very well
2. Basic understanding of models and why certain thing works
Very chill proctor"
8/6/2025 18:58:34,,8/6/2025,level1_v9,"what is R2 score
what does target encoder did(since i used target encoder in my notebook)
what is robust scaler
why did you use lightgbm
what is boosting",explain your code well and she focused more on eda part
8/6/2025 19:20:16,Vaibhav,8/6/2025,Level1_viva14,"With farmous proctor level1_viva_14 (10 AM-10:30 AM)
-> i found relax chill proctor in viva, no idea afterwards...
1. id card, kaggle notebook. 
2. Directly show EDA and explain what RESULTS you get.
3. Preprocessing (why you have choosen this) 
4. Explain Pipeline, i have done with column transformer, why you have done this?
5. Feature engineering .
6. Explain cv and scoring parameter in grid search cv.
7. Show all models, which models done best what parameter you have decided for that model (i have used r2 score).
8. Other that r2 score which parameter you used to identify model performance.
9. Feedback : make a bar chart for l2 viva, for 3 models with there r2 score or other scoring things. Good to go for level 2 viva, it will be more theory base questions from MLT...","You should have full knowledge of what you have written, level 1 will be easy."
8/7/2025 12:52:42,Muskan Periwal,8/6/2025,Level1_viva118,he asked me to show me ID card and then asked me to explain my notebook and after that he said All the best for viva 2. ,Chill and Be confident
8/7/2025 13:19:03,Shiva Kumar,8/7/2025,level1_118,"first explained my whole notebook
he told his opinion on my note book
asked the baseline model 
then he went through my parameters and asked in depth questions, and helped me in answering the question.
like: in rf parameters I used min_samples_split and min_samples_leaf. so he asked
if a node has 7 samples would it split or not, if yes why?, if no why?

a lot knowledgeable person. and helps you if you have any doubts. friendly person","understand the hyper parameters with their use. also know these terms like:
What is a weak learner and what are parametric models"
8/7/2025 14:06:47,,8/7/2025,level3_29,"1. What you have learned in this project?
2. What is reinforcement learning?
3. What is supervised and unsupervised learning?
4. How does KNN algorithm works?
5. Write code to import iris dataset, use KMeans algorithm on it, and plot the clusters formed.
5. Write code to import iris dataset, use DecisionTreeClassifier on it, and plot the decision tree.
6. Name 3 activation functions in Neural Network.
7. How many hidden layers can Neural Network have?
8. What happens if we increase number of hidden layers (I said that model becomes complex and can have the risk of overfitting)
9. Bagging vs Boosting
10. When applying ensemble method is not recommended?
11. What is the solution of overfitting?
12. What is the solution for underfitting?
13. What is oversampling?
14. What is SVM
15. What is One vs One and One vs All approach?
16. Apart from regularization, what are some other approaches to deal with overfitting.
","Study about Decision Trees and clustering algorithms like (KMeans, KNN). You should know how to write code to train these models and further work with trained model. For example, you can be asked to display the (node_count) etc, also, you should know how to plot the final trained decision tree. Similarly for KMeans, you should know how to train it, some basic hyperparameters such as number of clusters, max_iter, etc. Also plotting the clusters can be asked. Apart from this, prepare the models you have used very well, check out basics about Neural Network and activation functions."
8/7/2025 15:06:06,Anonymous,8/7/2025, mlp_level1_viva8_MLP_Viva,"1. Explain EDA of your notebook
2. Explain preprocessing pipeline 
3. Explain hyperparameter tuning
4. Can you use Logistic Regression to predict amount of rainfall?
5. If model is overfitting, will you increase or decrease n_estimators for Xgb? 
6. Mathematical range of R2 score & reason for negative r2","1. Be prepared to explain any EDA, preprocessing step
2. Be prepared to explain the model building approach - train validation split, etc. 
3. Read up on r2 score, HPT parameters and basic loss functions"
8/7/2025 17:06:04,,8/7/2025,Level1_116_MLP_Viva,"1. Introduce yourself.
2. What is the Problem Statement you are working on?
3. Explain your notebook.
4. Have used any pipeline?
5. What do you understand by Imputation?
6. Have you did the Hyper-tuning? If yes, then show it.
","1. Keep your notebook clean.
2. If you have used LLMs for coding, do not present like you have copy-pasted it. "
8/7/2025 18:19:44,Utkarsh,8/7/2025,Level1_viva18,"* Only asked me to explain the feature engineering and model training
* No questions on parameters or EDA or anything else.","Explain well and be calm, the proctor is chill."
8/7/2025 18:49:22,Anjali Malviya,8/6/2025,level1_Viva7,"1) Show Student ID
2) Explain notebook ( I took 15 mins)
3) Then, Which encoding method you used ?
4) Difference b/w Ordinal and One Hot encoding ?
5) What is HPT ?
6) D/fnce b/w gridsearch CV and Randomized Search CV

End ------Overall Nice",Just be well known of you notebook
8/7/2025 20:12:26,Preethu Johnson,8/5/2025,Viva_9,"1. Walk through the notebook
2. Which model was selected finally?
3. Which hyperparameter tuning did?
4. Compared the models after tuning?
5. Which encoder used?
6. Label encoder is having some issues (i don't remember exactly what it was), Still why that was used?
7. In the hyperparameter tuning, what are those parameters exactly? n_estimators, max_depth and all?
8. What is boosting?
9. What is code to categorize columns to categorical and numerical?
10. What is the code to drop columns?
11. What does axis=0 mean in that code?
12. What visualizations are used in EDA?
13. Pick any one and give the insights obtained from it.","Mam is very sweet, patient and gives enough time to think and answer. I received 9/10 even though i couldn't answer all the questions. Just concentrate on presenting the notebook well. If that presentation went well, everything is good."
8/8/2025 12:07:23,Prince Sant,8/8/2025,Level2_124,"1. Introduce yourself
2. how was your experience in this course
3. explain your notebook in 20 min
4. overfitting vs underfitting why this happens how can we resolve this
5. what is your beat score and what you think you can do to improve this
6. what is KNN and Kmeans Algo and how they are different
7. Explain Decision Tree
8. Explain What is hyperparameter tuning and types of it
9.  Asked to Code ""take a datset of your choice and perform RFE to select best 2 festures""

",He is very chill proctor 
8/9/2025 15:49:58,,8/9/2025,Level1_viva9," Explained my notebook completely in detail. In between she asked questions 
1. Did you use scaling and imputing? What is standardscalar
2. Did u do Model comparison? What did u infer from it
3. What is boosting
4. What did u understand from the visualisations
4. What is verbose
5. Xgb code 
6. Standardscalar code for target variable 
","She was Lil late for my viva, but overall very sweet. Hope I pass 🙏 i couldn't code much but answered all questions"
8/9/2025 20:25:01,Arunkumar,8/9/2025,mlp_level1_viva9,"1) Asked to explain the notebook from the EDA part ( i took only 5 mins , she didn't say anything)
2) Asked what are the models used
3) Asked to code RandomForestRegressor( import, create object, fit and predict (without dataset just to verify that you know))
4) Asked what are the feature engineering you performed
5) What is StandardScaler?
6) What is r2_score? 
7) Insights that you got from the three models you used","She's sweet, She started with asking to present the notebook.
I didn't presented that much, i stuck in between but she didn't interfere or anything, She stayed calm and allowed me to take my time to present.
Then she asked the questions that i mentioned above. Thats all , viva went only for 15 minutes. Good Experience!"
8/9/2025 20:43:51,Syed Ali Mujtaba,8/9/2025,level1_116,"level1_116:
Just asked me to explain my entire notebook.
Gave feedback.
Recognized some code which I copied from LLM.
Just asked me to know properly whatever you copied and be ready to explain in the viva 2.

Very nice person.",
8/10/2025 13:21:22,Anjali,8/6/2025,level3_29,"What is Machine Learning
Types of ML
What is supervised and unsupervised, and what is semi supervised , have you implemented reinforcement learning anywhere
Explain notebook in 5-7 minutes (some small question while explaining notebook).
import iris dataset, find size, append same data set again within it (new data set should be of size (300,4))
split the data into train test, train Decision Tree and plot Tree
How root nodes are decided
what is pure and impure nodes
what is the height of decision tree, and what is the depth of decision tree
difference between tree and graph
which criterion are you using, what is the range of gini index
apply kmeans and find the number of cluster which gives the highest accuracy
what this graph is called (I had drawn the elbow plot)
differentiate between machine learning and  and deep learning
difference between bagging and boosting
create a random matrix of dimension (1000,5) each sample point having value between 0-1",He repeats question.
8/10/2025 16:47:11,,8/10/2025,Level3_29,"1. Introduce Yourself
2. What are you working on? Explain your project
3. What is the outcome of your graph(Purchase Value v/s Page View)?
4. How does your correlation map relates to your project?
5. Why have you chosen 5 features for the correlation?
6. Explain LightGBM Model.
7. What are the types of Machine Learning?
8. Explain each of them.
9. Load new notebook.
10. Load Iris Dataset.
11. What is the dimension of the iris dataset?
12. Split the iris dataset into 70:30 ratio.
13. Perform Decision Tree Classifier.
14. Find the precision value.
15. What do you understand by precision value and recall?
16. What is F2 score?
17. What is SVM?
18. What is PCA?
19. Give examples of PCA that use classifier.
20. How does PCA works?


",Revise the whole ML Theory☠️
8/10/2025 21:49:55,Vaibhav,8/10/2025,Level3_29,"1. Show your id card, introduce yourself.
2. How machine learning and data science are you implementing?
3. What was goal of your project? means what your final result was? (Idk i said *Predicting purchase value on the bases of clicks and counts* 🥲)
4. Start presenting your notebook.
5. eda part was going, suddenly he said open a new notebook 🥲🥲, load digits set, split them into 70-30.
6. Do SVM on training data
7. Tell accuracy, precision and recall. I displayed confusion matrix, classification report.
8. Which correlation you have used? (I said no idea 🥲)
9. Do same things with decsion tree, same all things.
10. I have done showed classification report, proctor: now tell me time taken by both models?
11. Tell me how SVM internally does? (I said fullform some thoery and idk🥲)
11. Tell me pca (i said fullform theory)
12. How he reduce features (i sad idk🥲)
13. Do you knwo any actiovation layer or used. (I said in one of the previous project i have used ""relu"" layer and dense layer)
14. He asked what is input and output range of that layer . (I said idk 🥲 continuously explaining prev project 🥲🥲)
15. Ok my said up u can leave.","You should know what you are saying, and repeated theory questions. All the best"
8/11/2025 18:02:41,,8/8/2025,They didn't send me any proctor id on mail. Only gmeet link,"Level 1 (MLP_Viva_Level1)

- He was 13 mins late
- Asked to see my ID
- Walk through the notebook (around 10-12 mins)
- Listen patiently.
- Asked how did i manage the large dataset ?
- Asked how to improve the r2_score ?
- Suggested me to use unsupervised algos like KMeans. Said I did well.
",Very sweet and polite guy. Just explain your notebook properly.
8/11/2025 20:34:03,Utkarsh,8/11/2025,level3_29,"1. Explain the notebook
2. and based on the correlation map whether I have dropped the values which were highly correlated or not and if not why?
(That's it and after that I asked him the few questions)","chill guy, asks questions based on theory and notebook only."
8/12/2025 12:10:29,Bhargavi V,8/8/2025,Proctor ID was not mentioned (MLP Viva) level 1,"1.visualization techniques used in the notebook 

2. cross validation 

3. Then he asked me whether it's over fitting or under fitting 

4. Since I used linear regression model, he asked like this if there are redundant clns without touching the data how can you drop the cln

(I felt bit tricky) We need to use regularisation 

5. What can we do for outlier",Go through MLT concepts
8/23/2025 9:50:58,,8/12/2025,level3_29_MLP_Viva,">first asked me to introduce myself a little and talked about my intern and 2nd degree a little 
>then asked me what do you understand by problem statement , what can u infer
>how you approached the problem 
>what you did in preprocessing 
>suppose you are in a company and this is your company project what 4-5 insights or recommendations you'll give to increase the sales 
>then moved to notebook preprocessing part explain 
>then explain charts
>then how i handled null values and other columns (like encoding , scaling, imputing etc.)
>which models i used (i used xgb,lgm,rmfr)
>what is column transformer use (because i used that in my notebook)
>then asked me to show and explain complete pipeline functions as i created a function for every step
>i explained preprocessing , model defining , model training , result , saving best model and everything i did during my model training
>then he asked me theory questions like what is impurity , ginnie impurity , explain each of your model params , l1,l2 , bias , variance , bias-variance tradeoff, xgb and lgm difference their indepth working , sigmoid function , linear regression , logistic regression , loss function and its use , loss function of rmf , lr ,entropy , pca , how pca works,what pca does , is pca supervised or unsupervised , svm ,gradient descent (batch & stochastic) , grid search vs randomsearch ,bagging vs boosting , precision , recall, accuracy , types of ml, kvm ,  kmeans ,depth of decision tree , how to prevent overfitting 
>then asked me to load wine dataset , check its size after splitting , then find out top 5 features (i used mutual_info_regression) as i used that in my notebook also and he allowed , he also allowed me to use the docs if i want .
That's all and then he told me you can ask any question for me if you have , i asked how to improve to industry standards so he gave me some tip and then I left ","Just go through the previous topics people shared here and just know about your notebook , and just be confident even if you don't know answer , it really matters in my case i didn't know bias-variance and acted little hesitant , and in following 2-3 question as well even though i answer correctly i was hesitant like unsure if right or wrong , he told me to improve that as well even in my feedback he wrote this and i had to loose marks for this , so just make sure to be confident , Gook luck.(one more thing my proctor who joined was different from the one mentioned in meeting link but still most questions were same , so ya if you are good with your basics u are good to go ) "
8/23/2025 9:57:18,,8/7/2025,mlp_level1_viva8_MLP_Viva,">Introduction and little chitchat
>show id card
>start with notebook explaination , didn't interrupt even once
>asked bagging vs boosting , col_by_sample feature use , what is n_itr , verbose , random state and explain charts 
>told me to practice coding questions and models in depth 
>then asked if i had any question , i asked industry related stuff , gave me a few tips and gave some good feedback like good work i can see your hardwork and viva ended   ","he was nice and polite , just make sure to know about your notebook thoroughly and be confident , he told me people use gpt to make their notebook and don't know anything those kind of people he rejects and those who know what they are doing he is fine with little ai help then.  "
11/13/2025 16:32:17,your Classmate,11/13/2025,,He just asked me to run through my notebook. Explain each and everything nothing else,"Do not use library that is not specified. I used optuna and was told to remove it
"
11/14/2025 14:38:40,,11/14/2025,,"Explain EDA part
Explain Preprocessing Part
Explain the models used & training part
Show the used dataframe for training 
Questions based on the columns and features
Time series based model features and training 
Encodings for datetime objects",
11/14/2025 22:35:48,,11/14/2025,level1_viva8,Asked few questions about auto correlation and EDA. finally gave me some suggestions.,"focus on related topics and eda, if time series then basics about time series modelling"
11/15/2025 0:34:59,,11/14/2025,mlp level1,Write pipeline code with standard scaler and onehotencoder,
11/16/2025 13:58:13,,11/16/2025, level3_31,"Tell me something about yourself
Explain the notebook
What are Mean Median Mode in Imputation and when to use what
Explain any model used in your notebook
What types of Charts used why, and when to use what type of chart
Usage of AI in the project and where
What are your plans in the future for jobs / studies",
